"personnage_id","personnage","scene_number","scene_heading","source_principale","reference_iliade","present_dans_characters","mentionne_dans_analyse"
"achille","Achille","1","EXT. THESSALIAN VALLEY - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","2","EXT. WOODS - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","3","EXT. MYCENAEAN CAMP - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","4","INT. ACHILLES' TENT - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"achille","Achille","5","EXT. MYCENAEAN CAMP","H̩ritage Gr̩co-Romain","","True","False"
"achille","Achille","6","EXT. THESSALIAN VALLEY","Adaptation Cin̩ma","","True","False"
"achille","Achille","8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","Le Cycle Troyen","","False","True"
"achille","Achille","20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","23","EXT. SEASIDE CLIFF - LATE AFTERNOON","Adaptation Cin̩ma","","True","False"
"achille","Achille","24","EXT. BEACH - SUNSET","L'Iliade","Chant IX","False","True"
"achille","Achille","25","EXT. SEASHORE - SUNSET","L'Iliade","Chant IX","True","False"
"achille","Achille","26","EXT. AEGEAN SEA - DAY","Le Cycle Troyen","","False","True"
"achille","Achille","27","EXT. ACHILLES' WARSHIP - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","29","EXT. PALACE OF TROY","L'Iliade","Chant VI","False","True"
"achille","Achille","33","EXT. TROY - DAWN","Adaptation Cin̩ma","","False","True"
"achille","Achille","39","EXT. AEGEAN SEA - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","40","EXT. ACHILLES' WARSHIP","Adaptation Cin̩ma","","True","False"
"achille","Achille","41","EXT. AGAMEMNON'S WARSHIP","Adaptation Cin̩ma","","False","True"
"achille","Achille","45","EXT. ACHILLES' WARSHIP","Adaptation Cin̩ma","","True","False"
"achille","Achille","47","EXT. ACHILLES' WARSHIP - DAY","Adaptation Cin̩ma","","True","False"
"achille","Achille","48","EXT. TROJAN BEACH FORTIFICATIONS - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","49","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","50","EXT. ACHILLES' WARSHIP - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","51","EXT. TROJAN BEACH - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","52","EXT. AGAMEMNON'S SHIP - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","54","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"achille","Achille","55","EXT. AJAX'S SHIP - CONTINUOUS","L'Iliade","Chant VII","False","True"
"achille","Achille","56","EXT. TROJAN BEACH DUNES - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","57","EXT. TEMPLE OF APOLLO - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","58","EXT. AJAX'S SHIP - CONTINUOUS","L'Iliade","Chant VII","False","True"
"achille","Achille","59","EXT. TEMPLE OF APOLLO - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"achille","Achille","60","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","61","EXT. TEMPLE OF APOLLO - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"achille","Achille","63","INT. TEMPLE OF APOLLO - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","65","INT. ALTAR ROOM - DAY","Adaptation Cin̩ma","","True","False"
"achille","Achille","66","EXT. TEMPLE OF APOLLO - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"achille","Achille","67","EXT. TROJAN BEACH - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","68","EXT. AGAMEMNON'S SHIP - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","69","EXT. BEACH ENCAMPMENT - LATER","Adaptation Cin̩ma","","True","False"
"achille","Achille","70","INT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant I","True","False"
"achille","Achille","71","EXT. AGAMEMNON'S TENT - LATER","Adaptation Cin̩ma","","False","True"
"achille","Achille","72","INT. AGAMEMNON'S TENT - CONTINUOUS","L'Iliade","Chant I","True","False"
"achille","Achille","78","INT. HECTOR'S CHAMBER - NIGHT","L'Iliade","Chant VI","False","True"
"achille","Achille","82","INT. ACHILLES' TENT - LATER - DAY","L'Iliade","Chant I, Chant IX","True","False"
"achille","Achille","86","EXT. BLUFF - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","87","EXT. BATTLEFIELD - DAY","L'Iliade","Chant III","False","True"
"achille","Achille","91","EXT. BLUFF - CONTINUOUS","L'Iliade","Chant III","False","True"
"achille","Achille","95","EXT. BLUFF - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"achille","Achille","97","EXT. BLUFF - CONTINUOUS","L'Iliade","Chant I","True","False"
"achille","Achille","98","EXT. BATTLEFIELD - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","99","EXT. BLUFF - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","100","EXT. BATTLEFIELD - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","102","EXT. BATTLEFIELD","Adaptation Cin̩ma","","False","True"
"achille","Achille","107","INT. AGAMEMNON'S TENT - NIGHT","L'Iliade","Chant IX","False","True"
"achille","Achille","108","EXT. GREEK CAMPFIRE - NIGHT","Adaptation Cin̩ma","","True","False"
"achille","Achille","109","EXT. ACHILLES' TENT - NIGHT","Adaptation Cin̩ma","","True","False"
"achille","Achille","110","INT. ACHILLES' TENT - LATER","Adaptation Cin̩ma","","True","False"
"achille","Achille","111","EXT. BEACH - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","112","INT. ACHILLES' TENT - LATER","Adaptation Cin̩ma","","True","False"
"achille","Achille","114","INT. ACHILLES' TENT - MORNING","Adaptation Cin̩ma","","False","True"
"achille","Achille","115","EXT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant IX, Chant XVI","True","False"
"achille","Achille","117","EXT. ACHILLES' WARSHIP - LATER - DAY","L'Iliade","Chant IX","False","True"
"achille","Achille","118","INT. ACHILLES' WARSHIP - DAY","L'Iliade","Chant IX","True","False"
"achille","Achille","119","EXT. AGAMEMNON'S TENT - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","121","EXT. BEACH ENCAMPMENT - CONTINUOUS","L'Iliade","Chant XVI","False","True"
"achille","Achille","122","EXT. ACHILLES' WARSHIP - LATER","L'Iliade","Chant XVIII","True","False"
"achille","Achille","124","INT. PALACE OF TROY - SUBTERRANEAN LEVEL - NIGHT","L'Iliade","Chant VI","False","True"
"achille","Achille","125","EXT. BEACH ENCAMPMENT - NIGHT","L'Iliade","Chant XVIII, Chant XXIII","False","True"
"achille","Achille","126","EXT./INT. MONTAGE - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","127","EXT. BEACH ENCAMPMENT - DAWN","Adaptation Cin̩ma","","False","True"
"achille","Achille","128","EXT. ACHILLES' TENT - DAWN","L'Iliade","Chant XIX","True","False"
"achille","Achille","129","INT. ACHILLES' TENT - DAWN","L'Iliade","Chant XIX","False","True"
"achille","Achille","130","INT. HECTOR'S CHAMBER - DAWN","L'Iliade","Chant XXII","False","True"
"achille","Achille","131","EXT. SHRINE OF APOLLO - MORNING","Adaptation Cin̩ma","","False","True"
"achille","Achille","132","EXT. ACHILLES' TENT - MORNING","Adaptation Cin̩ma","","True","False"
"achille","Achille","133","EXT. WALLS OF TROY - DAY","L'Iliade","Chant XXII","False","True"
"achille","Achille","134","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","False","True"
"achille","Achille","135","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII","False","True"
"achille","Achille","136","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","False","True"
"achille","Achille","137","EXT. WALLS OF TROY - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","138","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","True","False"
"achille","Achille","139","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","True","False"
"achille","Achille","140","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant VI, Chant XXII","False","True"
"achille","Achille","141","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","True","False"
"achille","Achille","142","EXT. HIGH DUNES - DAY","L'Iliade","Chant XXII","False","True"
"achille","Achille","143","EXT. BATTLEFIELD - DAY","L'Iliade","Chant XXII","False","True"
"achille","Achille","145","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","True","False"
"achille","Achille","147","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","False","True"
"achille","Achille","149","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","False","True"
"achille","Achille","151","EXT. HIGH DUNES - DAY","L'Iliade","Chant XXII","False","True"
"achille","Achille","152","EXT. BEACH ENCAMPMENT - DAY","L'Iliade","Chant XXII","False","True"
"achille","Achille","153","INT. ACHILLES' TENT - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","154","EXT. BEACH ENCAMPMENT - NIGHT","L'Iliade","Chant XXIV","False","True"
"achille","Achille","155","INT. ACHILLES' TENT - NIGHT","Adaptation Cin̩ma","","True","False"
"achille","Achille","157","INT. ACHILLES' TENT - NIGHT","L'Iliade","Chant XXIV","True","False"
"achille","Achille","158","EXT. ACHILLES' TENT - MOMENTS LATER - NIGHT","L'Iliade","Chant XXIV","True","False"
"achille","Achille","159","INT. ACHILLES' TENT - LATER - NIGHT","L'Iliade","Chant XXIV","False","True"
"achille","Achille","160","EXT. BEACH ENCAMPMENT - CONTINUOUS","L'Iliade","Chant XXIV","True","False"
"achille","Achille","161","INT. AGAMEMNON'S TENT - DAY","Adaptation Cin̩ma","","False","True"
"achille","Achille","165","EXT. BEACH ENCAMPMENT - NIGHT","Le Cycle Troyen","","True","False"
"achille","Achille","166","EXT. ACHILLES' TENT - LATER","Adaptation Cin̩ma","","True","False"
"achille","Achille","167","EXT. GUARD TOWER - DAWN","Le Cycle Troyen","","False","True"
"achille","Achille","174","EXT. MAIN SQUARE OF TROY - NIGHT","Le Cycle Troyen","","False","True"
"achille","Achille","177","EXT. PALACE OF TROY - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","178","EXT. TROY - NIGHT","Le Cycle Troyen","","False","True"
"achille","Achille","181","EXT. TROJAN STREETS - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","184","INT. PARIS'S BEDCHAMBER - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","189","EXT. PALACE OF TROY - NIGHT","Adaptation Cin̩ma","","True","False"
"achille","Achille","192","INT. MEETING HALL - NIGHT","H̩ritage Gr̩co-Romain","","False","True"
"achille","Achille","195","INT. PALACE HALLWAYS - NIGHT","Adaptation Cin̩ma","","True","False"
"achille","Achille","196","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","197","INT. PALACE - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","198","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","False","True"
"achille","Achille","199","INT. PALACE - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"achille","Achille","200","EXT. PALACE GARDEN - CONTINUOUS","H̩ritage Gr̩co-Romain","","True","False"
"achille","Achille","201","EXT. MAIN SQUARE OF TROY - DAWN","H̩ritage Gr̩co-Romain","","False","True"
"achille","Achille","202","EXT. SCAMANDER RIVER - DAWN","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","1","EXT. THESSALIAN VALLEY - DAY","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","2","EXT. WOODS - DAY","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","4","INT. ACHILLES' TENT - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","6","EXT. THESSALIAN VALLEY","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","19","EXT. MYCENAE HARBOR - DAY","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","22","EXT. ITHACA - DAY","H̩ritage Gr̩co-Romain","","False","True"
"agamemnon","Agamemnon","23","EXT. SEASIDE CLIFF - LATE AFTERNOON","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","26","EXT. AEGEAN SEA - DAY","Le Cycle Troyen","","False","True"
"agamemnon","Agamemnon","30","INT. PRIAM'S MEETING HALL - DAY","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","32","INT. PARIS'S BEDCHAMBER - NIGHT","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","40","EXT. ACHILLES' WARSHIP","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","41","EXT. AGAMEMNON'S WARSHIP","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","52","EXT. AGAMEMNON'S SHIP - DAY","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","68","EXT. AGAMEMNON'S SHIP - DAY","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","70","INT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant I","False","True"
"agamemnon","Agamemnon","71","EXT. AGAMEMNON'S TENT - LATER","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","72","INT. AGAMEMNON'S TENT - CONTINUOUS","L'Iliade","Chant I","True","False"
"agamemnon","Agamemnon","76","INT. PRIAM'S MEETING HALL - NIGHT","L'Iliade","Chant III, Chant XII","False","True"
"agamemnon","Agamemnon","80","EXT. PALACE GARDEN - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","82","INT. ACHILLES' TENT - LATER - DAY","L'Iliade","Chant I, Chant IX","False","True"
"agamemnon","Agamemnon","86","EXT. BLUFF - DAY","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","89","EXT. BATTLEFIELD - DAY","L'Iliade","Chant III","True","False"
"agamemnon","Agamemnon","94","EXT. BATTLEFIELD - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","95","EXT. BLUFF - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","96","EXT. BATTLEFIELD - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","97","EXT. BLUFF - CONTINUOUS","L'Iliade","Chant I","False","True"
"agamemnon","Agamemnon","100","EXT. BATTLEFIELD - DAY","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","103","EXT. BEACH ENCAMPMENT","L'Iliade","Chant VII","False","True"
"agamemnon","Agamemnon","104","EXT. BATTLEFIELD - LATER","H̩ritage Gr̩co-Romain","Chant VII","True","False"
"agamemnon","Agamemnon","107","INT. AGAMEMNON'S TENT - NIGHT","L'Iliade","Chant IX","True","False"
"agamemnon","Agamemnon","108","EXT. GREEK CAMPFIRE - NIGHT","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","109","EXT. ACHILLES' TENT - NIGHT","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","115","EXT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant IX, Chant XVI","False","True"
"agamemnon","Agamemnon","119","EXT. AGAMEMNON'S TENT - DAY","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","125","EXT. BEACH ENCAMPMENT - NIGHT","L'Iliade","Chant XVIII, Chant XXIII","True","False"
"agamemnon","Agamemnon","126","EXT./INT. MONTAGE - NIGHT","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","142","EXT. HIGH DUNES - DAY","L'Iliade","Chant XXII","False","True"
"agamemnon","Agamemnon","161","INT. AGAMEMNON'S TENT - DAY","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","163","EXT. AGAMEMNON'S TENT - DAY","Le Cycle Troyen","","False","True"
"agamemnon","Agamemnon","183","EXT. MAIN SQUARE OF TROY - NIGHT","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","190","EXT. PALACE STAIRS - NIGHT","Le Cycle Troyen","","True","False"
"agamemnon","Agamemnon","192","INT. MEETING HALL - NIGHT","H̩ritage Gr̩co-Romain","","True","False"
"agamemnon","Agamemnon","194","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","196","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","197","INT. PALACE - NIGHT","Adaptation Cin̩ma","","False","True"
"agamemnon","Agamemnon","198","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","True","False"
"agamemnon","Agamemnon","201","EXT. MAIN SQUARE OF TROY - DAWN","H̩ritage Gr̩co-Romain","","False","True"
"ajax","Ajax","23","EXT. SEASIDE CLIFF - LATE AFTERNOON","Adaptation Cin̩ma","","False","True"
"ajax","Ajax","55","EXT. AJAX'S SHIP - CONTINUOUS","L'Iliade","Chant VII","True","False"
"ajax","Ajax","58","EXT. AJAX'S SHIP - CONTINUOUS","L'Iliade","Chant VII","False","True"
"ajax","Ajax","60","EXT. TROJAN BEACH - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"ajax","Ajax","62","EXT. TROJAN BEACH - DAY","L'Iliade","Chant VII","True","False"
"ajax","Ajax","69","EXT. BEACH ENCAMPMENT - LATER","Adaptation Cin̩ma","","True","False"
"ajax","Ajax","89","EXT. BATTLEFIELD - DAY","L'Iliade","Chant III","True","False"
"ajax","Ajax","98","EXT. BATTLEFIELD - CONTINUOUS","Adaptation Cin̩ma","","True","False"
"ajax","Ajax","99","EXT. BLUFF - CONTINUOUS","Adaptation Cin̩ma","","False","True"
"ajax","Ajax","100","EXT. BATTLEFIELD - DAY","Adaptation Cin̩ma","","False","True"
"ajax","Ajax","101","EXT. WALLS OF TROY","Adaptation Cin̩ma","","False","True"
"ajax","Ajax","102","EXT. BATTLEFIELD","Adaptation Cin̩ma","","False","True"
"ajax","Ajax","103","EXT. BEACH ENCAMPMENT","L'Iliade","Chant VII","False","True"
"ajax","Ajax","104","EXT. BATTLEFIELD - LATER","H̩ritage Gr̩co-Romain","Chant VII","False","True"
"ajax","Ajax","106","EXT. BEACH ENCAMPMENT - NIGHT","Adaptation Cin̩ma","","False","True"
"ajax","Ajax","107","INT. AGAMEMNON'S TENT - NIGHT","L'Iliade","Chant IX","False","True"
"ajax","Ajax","115","EXT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant IX, Chant XVI","False","True"
"ajax","Ajax","145","EXT. BATTLEFIELD - CONTINUOUS","L'Iliade","Chant XXII","False","True"
"andromaque","Andromaque","29","EXT. PALACE OF TROY","L'Iliade","Chant VI","True","False"
"andromaque","Andromaque","35","INT. HECTOR'S CHAMBER - CONTINUOUS","L'Iliade","Chant VI","False","True"
"andromaque","Andromaque","46","EXT. GATES OF TROY - DAY","Adaptation Cin̩ma","","False","True"
"andromaque","Andromaque","78","INT. HECTOR'S CHAMBER - NIGHT","L'Iliade","Chant VI","True","False"
"andromaque","Andromaque","123","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","False","True"
"andromaque","Andromaque","124","INT. PALACE OF TROY - SUBTERRANEAN LEVEL - NIGHT","L'Iliade","Chant VI","True","False"
"andromaque","Andromaque","130","INT. HECTOR'S CHAMBER - DAWN","L'Iliade","Chant XXII","False","True"
"andromaque","Andromaque","140","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant VI, Chant XXII","True","False"
"andromaque","Andromaque","144","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII","False","True"
"andromaque","Andromaque","146","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII","False","True"
"andromaque","Andromaque","148","EXT. WALLS OF TROY - CONTINUOUS","L'Iliade","Chant XXII, Chant XXIV","False","True"
"andromaque","Andromaque","164","EXT. MAIN SQUARE OF TROY - NIGHT","L'Iliade","Chant XXIV","False","True"
"andromaque","Andromaque","184","INT. PARIS'S BEDCHAMBER - NIGHT","Adaptation Cin̩ma","","True","False"
"andromaque","Andromaque","186","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","False","True"
"andromaque","Andromaque","187","INT. PALACE OF TROY - SUBTERRANEAN LEVEL - NIGHT","H̩ritage Gr̩co-Romain","","True","False"
"andromaque","Andromaque","188","INT. PALACE OF TROY - NIGHT","Adaptation Cin̩ma","","False","True"
"andromaque","Andromaque","202","EXT. SCAMANDER RIVER - DAWN","Adaptation Cin̩ma","","False","True"
"briseis","Briseis","29","EXT. PALACE OF TROY","L'Iliade","Chant VI","True","False"
"briseis","Briseis","70","INT. ACHILLES' TENT - CONTINUOUS","L'Iliade","Chant I","True","False"
"briseis","Briseis","72","INT. AGAMEMNON'S TENT - CONTINUOUS","L'Iliade","Chant I","True","False"
"briseis","Briseis","110","INT. ACHILLES' TENT - LATER","Adaptation Cin̩ma","","True","False"
"briseis","Briseis","112","INT. ACHILLES' TENT - LATER","Adaptation Cin̩ma","","True","False"
"briseis","Briseis","118","INT. ACHILLES' WARSHIP - DAY","L'Iliade","Chant IX","True","False"
"briseis","Briseis","122","EXT. ACHILLES' WARSHIP - LATER","L'Iliade","Chant XVIII","True","False"
"briseis","Briseis","132","EXT. ACHILLES' TENT - MORNING","Adaptation Cin̩ma","","True","False"
"briseis","Briseis","155","INT. ACHILLES' TENT - NIGHT","Adaptation Cin̩ma","","True","False"
"briseis","Briseis","188","INT. PALACE OF TROY - NIGHT","Adaptation Cin̩ma","","True","False"
"briseis","Briseis","196","EXT. PALACE GARDEN - NIGHT","Adaptation Cin̩ma","","True","False"
"briseis","Briseis","200","EXT. PALACE GARDEN - CONTINUOUS","H̩ritage Gr̩co-Romain","","True","False"
"enee","Enee","187","INT. PALACE OF TROY - SUBTERRANEAN LEVEL - NIGHT","H̩ritage Gr̩co-Romain","","True","False"
"hector","Hector","8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","Le Cycle Troyen","","True","False"
"hector","Hector","10","INT. PALACE - RECEPTION HALL - NIGHT","Le Cycle Troyen","","False","True"
